,up,down
4968.0,0.0,0.0
4969.0,0.0,0.0
4970.0,0.0,0.0
4971.0,0.0,0.0
4972.0,0.0,0.0
4973.0,-2.6514499831112807e-16,2.6514499831112807e-16
4974.0,8102.2376348078915,0.0009092504840426389
4975.0,8046.584750900733,314.65469325312165
4976.0,12898.799663710817,3496.5596340365196
4977.0,15912.565557310638,4847.353875081827
4978.0,15935.837652062675,5594.671579842888
4979.0,16189.766483906793,5954.829227344951
4980.0,4935.264063030728,4143.240449551152
4981.0,45.31340817279689,1917.3137897321178
4982.0,28.087388258608396,1681.4632664518017
4983.0,0.025715954174829865,7441.439076501349
4984.0,24.98209360765674,13536.471401195839
4985.0,520.7376789407277,17725.853396396902
4986.0,11155.320249087355,12860.65079006427
4987.0,-1.4650371576760897e-10,1.4650371576760897e-10
4988.0,0.0,0.0
4989.0,5.200741753262314e-17,-4.084967265877593e-17
4990.0,0.0,0.0
4991.0,0.0,1.4852619721434825e-13
4992.0,0.0,-3.8638599029086986e-17
