,up,down
4968.0,0.0,0.0
4969.0,0.0,0.0
4970.0,0.0,0.0
4971.0,0.0,0.0
4972.0,0.0,0.0
4973.0,-2.910109778770768e-10,2.815023547429008e-10
4974.0,8258.150793847055,0.0007275881289152537
4975.0,8050.312358808081,316.6269304417035
4976.0,12896.39923486095,3502.9274406203785
4977.0,15911.29977618582,4846.480141392841
4978.0,15934.522523260264,5597.638920298382
4979.0,16188.015114761267,5940.735213261403
4980.0,13035.24451209806,10158.85534613222
4981.0,14287.3691672883,10031.52380793854
4982.0,13188.028964889474,10557.055374524434
4983.0,13089.667601599323,12093.031574378398
4984.0,11615.32884364069,13065.118895762502
4985.0,13220.909525007399,12387.228849195202
4986.0,17867.50586518366,7820.916396417009
4987.0,-1.2835221490214522e-07,-4.1102050430818014e-07
4988.0,-3.0202116007116976e-15,3.0202116007116976e-15
4989.0,-8.517761133832427e-17,8.517761133832427e-17
4990.0,0.0,0.0
4991.0,0.0,-2.9203791038913887e-13
4992.0,0.0,-3.555219424604628e-14
