,power_base,power_down,power_up,time_base,time_down,time_up
0,0.0,0.0,0.0,17884800.0,17884800.0,17884800.0
1,0.0,0.0,0.0,17884807.2,17884807.2,17884807.2
2,0.0,0.0,0.0,17884814.4,17884814.4,17884814.4
3,0.0,0.0,0.0,17884821.599999998,17884821.599999998,17884821.599999998
4,0.0,0.0,0.0,17884828.8,17884828.8,17884828.8
5,0.0,0.0,0.0,17884836.0,17884836.0,17884836.0
6,0.0,0.0,0.0,17884843.2,17884843.2,17884843.2
7,0.0,0.0,0.0,17884850.4,17884850.4,17884850.4
8,0.0,0.0,0.0,17884857.599999998,17884857.599999998,17884857.599999998
9,0.0,0.0,0.0,17884864.8,17884864.8,17884864.8
10,0.0,0.0,0.0,17884872.0,17884872.0,17884872.0
11,0.0,0.0,0.0,17884879.2,17884879.2,17884879.2
12,-3.42544260916172e-37,-3.42544260916172e-37,-3.42544260916172e-37,17884886.4,17884886.4,17884886.4
13,-3.8524838506215964e-32,-3.8524838506215964e-32,-3.8524838506215964e-32,17884893.599999998,17884893.599999998,17884893.599999998
14,-6.16500177949693e-33,-6.16500177949693e-33,-6.16500177949693e-33,17884900.8,17884900.8,17884900.8
15,-5.069020022410955e-25,-5.069020022410955e-25,-5.069020022410955e-25,17884908.0,17884908.0,17884908.0
16,-5.066246177402714e-25,-5.066246177402714e-25,-5.066246177402714e-25,17884915.2,17884915.2,17884915.2
17,-1.5411635308451663e-33,-1.5411635308451663e-33,-1.5411635308451663e-33,17884922.4,17884922.4,17884922.4
18,-8.564558078098336e-38,-8.564558078098336e-38,-8.564558078098336e-38,17884929.599999998,17884929.599999998,17884929.599999998
19,-8.562654861942076e-38,-8.562654861942076e-38,-8.562654861942076e-38,17884936.8,17884936.8,17884936.8
20,-8.162795620415316e-55,-8.162795620415316e-55,-8.162795620415316e-55,17884944.0,17884944.0,17884944.0
21,-6.163974160994659e-33,-6.163974160994659e-33,-6.163974160994659e-33,17884951.2,17884951.2,17884951.2
22,-3.425442588010487e-37,-3.425442588010487e-37,-3.425442588010487e-37,17884958.4,17884958.4,17884958.4
