,baseline,attack
eneEff (kWh),178.12255616671231,196.10595707594302
powDem (kW),19.15172118762334,37.621548075286796
TNotMet_Core (h),0.0,2.0
ChiRunTim (h),12.975129123263889,11.475129123263889
BoiRunTim (h),0.0,0.0
SupFanRunTim (h),13.0,13.0
CooTowRunTim (h),12.927333984375,11.702670355902777
CHWPRunTim (h),12.975129123263889,12.975129123263889
CWPRunTim (h),12.975129123263889,12.975129123263889
HWPRunTim (h),0.0,0.0
ChiSwiTim,2.0,8.0
BoiSwiTim,0.0,0.0
SupFanSwiTim,2.0,2.0
CooTowSwiTim,2.0,8.0
CHWPSwiTim,2.0,8.0
CWPSwiTim,2.0,8.0
HWPSwiTim,0.0,0.0
