,up,down
1992.0,0.0,0.0
1993.0,0.0,0.0
1994.0,-7.559989635741312e-21,-6.763293386029571e-20
1995.0,1.3452383156575718e-20,-2.1661102974055285e-22
1996.0,1.7763310153950385e-14,-1.7763310153950385e-14
1997.0,2.7718642150612094e-14,-1.6662357333406268e-14
1998.0,1050.985857643908,-0.0001576617160010033
1999.0,360.9414811884172,3.38078551879543e-07
2000.0,1803.1253557318282,9.007191070742529
2001.0,2428.68210223007,70.18188345915046
2002.0,3460.995580877302,121.46469328841435
2003.0,3993.439553677383,174.99939320106853
2004.0,5344.389170858519,462.25900137390533
2005.0,6525.602770626542,833.9476517550135
2006.0,6750.657511572614,1093.707585923554
2007.0,7605.916405400493,1256.3541405486292
2008.0,7801.0631860549865,1277.5777395980126
2009.0,7319.698177471112,947.6697942356058
2010.0,4204.753612299923,202.22100375386972
2011.0,-1.1330276388748212e-09,1.1330276388748212e-09
2012.0,0.0,0.0
2013.0,5.164747621424511e-14,-5.164747621424511e-14
2014.0,0.0,0.0
2015.0,0.0,-2.830163166281503e-14
2016.0,0.0,-8.05847161334142e-17
