,up,down
4968.0,0.0,0.0
4969.0,0.0,0.0
4970.0,0.0,0.0
4971.0,0.0,0.0
4972.0,0.0,0.0
4973.0,-2.910109778770768e-10,2.815023547429008e-10
4974.0,8258.150793847055,0.0007275881289152537
4975.0,8050.312358808081,316.6269304417035
4976.0,12896.39923486095,3502.9274406203785
4977.0,15911.29977618582,4846.480141392841
4978.0,15934.522523260264,5597.638920298382
4979.0,16188.015114761267,5940.735213261403
4980.0,14588.19398045546,8179.862236824353
4981.0,15092.24009147094,9019.62811771433
4982.0,14274.224005081513,10194.35970055036
4983.0,11003.003534786187,12018.235556395359
4984.0,13233.45031686531,11996.39726042202
4985.0,13345.079993897227,11601.802818640184
4986.0,18241.567538386545,7173.908934729926
4987.0,9.701627702316774e-09,-9.701627702316774e-09
4988.0,-5.60266764999618e-15,5.60266764999618e-15
4989.0,1.405408567203572e-16,-1.405408567203572e-16
4990.0,0.0,0.0
4991.0,0.0,-3.316661164519985e-13
4992.0,0.0,-3.514808575893023e-14
