,up,down
4968.0,0.0,0.0
4969.0,0.0,0.0
4970.0,0.0,0.0
4971.0,0.0,0.0
4972.0,0.0,0.0
4973.0,-2.6514499831112807e-16,2.6514499831112807e-16
4974.0,8102.2376348078915,0.0009092504840426389
4975.0,8046.584750900733,314.65469325312165
4976.0,12898.799663710817,3496.5596340365196
4977.0,15912.565557310638,4847.353875081827
4978.0,15935.837652062675,5594.671579842888
4979.0,16189.766483906793,5954.829227344951
4980.0,14477.828316175312,8368.12192329536
4981.0,15387.449368171476,8993.402636337376
4982.0,14028.921111590455,10808.15026868509
4983.0,11605.89969265058,11902.013650380708
4984.0,12587.079485613745,12925.890134863954
4985.0,12637.62051116104,12225.57378662553
4986.0,18098.31145087443,8317.303961829797
4987.0,-3.7887776320886784e-07,3.7887776320886784e-07
4988.0,-1.5031031988761053e-18,1.5031031988761053e-18
4989.0,-2.9955408412247005e-20,2.9955408412247005e-20
4990.0,0.0,0.0
4991.0,0.0,-1.6962130670021902e-15
4992.0,0.0,-6.971888259187617e-15
