,up,down
4968.0,0.0,0.0
4969.0,0.0,0.0
4970.0,0.0,0.0
4971.0,0.0,0.0
4972.0,0.0,0.0
4973.0,-2.6514499831112807e-16,2.6514499831112807e-16
4974.0,8102.2376348078915,0.0009092504840426389
4975.0,8046.584750900733,314.65469325312165
4976.0,12898.799663710817,3496.5596340365196
4977.0,15912.565557310638,4847.353875081827
4978.0,15935.837652062675,5594.671579842888
4979.0,16189.766483906793,5954.829227344951
4980.0,14591.630807791718,8192.481411355191
4981.0,15093.91245047361,9206.114320767927
4982.0,14255.337549617541,10101.798081973662
4983.0,11013.778723683148,11927.978192481269
4984.0,13240.939334831344,12080.641166568468
4985.0,13349.111697100721,11598.83027562086
4986.0,18243.766281185683,8346.15997087627
4987.0,6.8785675060089245e-06,-6.8785675060089245e-06
4988.0,1.4685392441856074e-14,5.7824888335677505e-15
4989.0,1.9276176714268383e-17,-2.062416193130412e-17
4990.0,0.0,0.0
4991.0,0.0,-2.0499732269677224e-14
4992.0,0.0,7.808234257920859e-17
