,baseline,attack
eneEff (kWh),178.12255616671231,178.1225529545676
powDem (kW),19.15172118762334,19.192266587257386
TNotMet_Core (h),0.0,0.0
ChiRunTim (h),12.975129123263889,12.975129123263889
BoiRunTim (h),0.0,0.0
SupFanRunTim (h),13.0,13.0
CooTowRunTim (h),12.927333984375,12.927333984375
CHWPRunTim (h),12.975129123263889,12.975129123263889
CWPRunTim (h),12.975129123263889,12.975129123263889
HWPRunTim (h),0.0,0.0
ChiSwiTim,2.0,2.0
BoiSwiTim,0.0,0.0
SupFanSwiTim,2.0,2.0
CooTowSwiTim,2.0,2.0
CHWPSwiTim,2.0,2.0
CWPSwiTim,2.0,2.0
HWPSwiTim,0.0,0.0
