,up,down
17888400,0.0,0.0
17892000,0.0,0.0
17895600,0.0,0.0
17899200,0.0,0.0
17902800,0.0,0.0
17906400,-1.3467761260377298e-08,1.3467761260377298e-08
17910000,8.887383940674544,-6.735610309505091e-07
17913600,9.528659509085243,8.13931855248029e-09
17917200,13.701805771200817,0.7364594988193609
17920800,14.99593846024024,3.217013573786872
17924400,15.207728815647751,4.907273207554439
17928000,15.16731515936668,5.375480729883206
17931600,14.528738939508475,7.572692174261261
17935200,13.479264805862385,8.691667659902322
17938800,12.23425653342317,10.280001849551963
17942400,10.9951867725688,11.307318485624513
17946000,10.126957244515605,11.75547221932052
17949600,10.775001068290187,11.300139858481078
17953200,15.705518484384072,6.898615191030887
17956800,3.590332711966848e-07,-3.590332711966848e-07
17960400,5.532183936754649e-21,-5.532183936754649e-21
17964000,-1.1268784882386465e-20,8.954488624827947e-22
17967600,-3.230886822522402e-19,1.6990410976723625e-17
17971200,9.801824630379172e-18,-1.4626033542021997e-16
