,timdis_tot,tdis_tot,dT_max_dict_mod.conVAVCor.TZo_dT_max,dT_max_dict_mod.conVAVCor.TZo_tim_dT_max,dT_max_dict_mod.conVAVSou.TZo_dT_max,dT_max_dict_mod.conVAVSou.TZo_tim_dT_max,dT_max_dict_mod.conVAVEas.TZo_dT_max,dT_max_dict_mod.conVAVEas.TZo_tim_dT_max,dT_max_dict_mod.conVAVNor.TZo_dT_max,dT_max_dict_mod.conVAVNor.TZo_tim_dT_max,dT_max_dict_mod.conVAVWes.TZo_dT_max,dT_max_dict_mod.conVAVWes.TZo_tim_dT_max,ener_tot,pow_peak
17888400,0.0,0.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,-2.989595013571349e-29,-2.770143424163435e-220
17892000,0.0,0.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,-9.119719971778034e-30,-1.173316894800161e-224
17895600,0.0,0.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,-2.9386271100660865e-29,-1.173316894800161e-224
17899200,0.0,0.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,-1.7226416952105763e-29,-7.374102513044459e-212
17902800,0.0,0.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,-1.4186271136226721e-29,-2.3688335647908307e-237
17906400,0.0,0.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.04771400265450377,1.6912680437670549
17910000,0.4166666666666667,0.01175976776409466,-0.059719554451021395,17909949.599999998,-0.01891784089008297,17909438.4,-0.3906915716639219,17907609.599999998,-0.1130722606418999,17909431.2,0.04120385127708914,17909935.2,12.71487768623665,14.334856123272784
17913600,0.75,0.02056438871352238,-0.05705189256019594,17910396.0,-0.023071806457210187,17910144.0,-0.5778554320793887,17910000.0,-0.11762164271590336,17910144.0,0.042311157870813076,17910158.4,13.908585519988847,14.524742082065659
17917200,0.0,0.0,-0.0941892191116267,17913600.0,-0.12514785592111366,17913600.0,-0.30685910260649507,17914543.2,-0.1995063536210182,17913600.0,-0.02753486243682346,17913600.0,14.431431866435044,15.47273235325262
17920800,0.0,0.0,-0.8811826360496298,17920461.599999998,-0.6948438179751975,17917228.8,-0.5500822759769335,17917236.0,-0.7328986656572738,17917221.599999998,-0.7742884852246448,17919561.599999998,16.938442021838163,20.03313772745495
17924400,0.0,0.0,-0.8917797255211326,17921080.8,-0.7819866768181782,17924313.599999998,-0.7837958167397687,17920800.0,-0.9128042611208684,17924306.4,-0.9352358954035367,17924313.599999998,18.78287871579657,19.562237378233313
17928000,0.0,0.0,-0.9448406258393902,17924911.2,-0.7804431522674804,17927553.599999998,-0.9065351400875556,17927748.0,-0.9152349874631796,17924400.0,-0.9370062162101931,17924400.0,19.496918522751578,20.750257159665686
17931600,0.0,0.0,-0.8949738634025834,17928741.599999998,-0.7007803954786596,17928410.4,-0.9124655665405044,17928000.0,-0.8454588435114943,17928432.0,-0.836188667726617,17931513.599999998,21.565599195003706,22.779507448149023
17935200,0.0,0.0,-0.9538876939352576,17931736.8,-0.7600375062942817,17931736.8,-0.9607648456847642,17932420.8,-0.8886708022071161,17931736.8,-0.757597378988919,17935106.4,23.2582653295852,24.793303814040414
17938800,0.0,0.0,-0.9654379851891122,17938800.0,-0.8413170425031353,17935336.8,-0.9737875866603076,17935538.4,-0.9068274789129873,17935344.0,-0.693127228910555,17938800.0,25.426687982792004,26.507979865466247
17942400,0.0,0.0,-0.9561868685131572,17941276.8,-0.9274481334373377,17938800.0,-0.9778668841300941,17941586.4,-0.9006821935199696,17941190.4,-0.6806073471589684,17939865.599999998,27.513180033541392,28.367344716918222
17946000,0.0,0.0,-0.9589733793131359,17942400.0,-0.9545545409461624,17946000.0,-0.9668002150312418,17946000.0,-0.9070336116400313,17942400.0,-0.7023179835593965,17942400.0,28.69387768295631,28.91654381351455
17949600,0.0,0.0,-0.8351315530831585,17949600.0,-0.7196377933528311,17949600.0,-0.7708308163181528,17949600.0,-0.8165604069279766,17949600.0,-0.8019048149516834,17946000.0,28.11162873871045,28.9224212499713
17953200,0.0,0.0,-0.6327196938764814,17953200.0,-0.5608452200532383,17950089.599999998,-0.6349104133629453,17950060.8,-0.6500688514689728,17950096.8,-0.6454053726208713,17952372.0,22.283355387805155,26.596904846827123
17956800,0.0,0.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.09259578538505785,8.508273358987164
17960400,0.0,0.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,-8.820799891579309e-11,-8.755400572008745e-11
17964000,0.0,0.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,-8.544894100814879e-11,-8.375236080794894e-11
17967600,0.0,0.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,-8.935690599941027e-11,-8.372223937361962e-11
17971200,0.0,0.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,-7.585540125522508e-11,-6.836555149634665e-11
