,df_down,df_up,ener_tot,pow_peak,tdis_tot
17888400,1.0,1.0,-1.1045434405374122e-29,-1.5318283355613797e-161,0.0
17892000,1.0,1.0,-6.257476197901711e-30,-1.087698086672329e-162,0.0
17895600,1.0,1.0,-3.39479301456278e-30,-1.4256523516505087e-196,0.0
17899200,1.0,1.0,-3.3947784882192064e-30,-1.4256523516505087e-196,0.0
17902800,1.0,1.0,-3.7845732276351085e-28,-1.2070613601742694e-197,0.0
17906400,1.0,1.0,-2.2131697511983725e-12,-3.5581521804735e-26,0.0
17910000,1.0000005003628647,0.7943516006631709,0.3568567706923662,0.1961427401837363,0.0
17913600,0.9918301170481202,0.79436192733388,0.41639373832026544,0.22378136766676884,0.0
17917200,0.9112300062203278,0.6729488493183838,0.5761189794747364,0.35012245513004,0.008161499020328183
17920800,0.8809349449254958,0.6071534646234288,0.6761780466960289,0.36520355533995685,0.0
17924400,0.8551958315247444,0.5980997125202473,0.7400880137824123,0.39507207904582026,0.0
17928000,0.8482061631198888,0.6001471732693276,0.77582913574659,0.419341082440446,0.0
17931600,0.7982687702610561,0.6380836979742974,0.880416012797607,0.46515268725090525,0.0
17935200,0.7664561311840192,0.6453587001596796,0.94794560796978,0.5073621414057083,0.0
17938800,0.7445223079319445,0.6839104149478042,1.03814410634458,0.5451342568741403,0.0
17942400,0.7137188283921789,0.6709054671526828,1.1480489498430522,0.5981554621838466,0.0
17946000,0.6891355767190263,0.6973762315393968,1.224640328210873,0.6237354712241624,0.0
17949600,0.7130355620625626,0.6430662606057683,1.1804357626658872,0.624327079041493,0.0
17953200,0.8003467891187055,0.5282740380869317,0.8553952639928238,0.5512279632992118,0.0
17956800,1.0000000000132263,0.9999999999867736,0.0002275139288677341,0.09649105138721224,0.0
17960400,1.0,1.0,-4.410412301926787e-12,-2.188973900977548e-12,0.0
17964000,1.0,1.0,-4.272477750084977e-12,-2.0938370113127868e-12,0.0
17967600,1.0,1.0,-4.467826819942322e-12,-2.093057221035493e-12,0.0
17971200,1.0,1.0,-3.792675662364542e-12,-1.7096491317847995e-12,0.0
