,dT_max_dict_mod.conVAVCor.TZo_dT_max,dT_max_dict_mod.conVAVCor.TZo_tim_dT_max,dT_max_dict_mod.conVAVEas.TZo_dT_max,dT_max_dict_mod.conVAVEas.TZo_tim_dT_max,dT_max_dict_mod.conVAVNor.TZo_dT_max,dT_max_dict_mod.conVAVNor.TZo_tim_dT_max,dT_max_dict_mod.conVAVSou.TZo_dT_max,dT_max_dict_mod.conVAVSou.TZo_tim_dT_max,dT_max_dict_mod.conVAVWes.TZo_dT_max,dT_max_dict_mod.conVAVWes.TZo_tim_dT_max,ener_tot,pow_peak,tdis_tot,timdis_tot
17888400,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,-2.2090868828420936e-28,-6.127313342245519e-160,0.0,0.0
17892000,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,-1.2514952405815382e-28,-4.350792346689317e-161,0.0,0.0
17895600,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,-6.789586034557228e-29,-5.7026094066020345e-195,0.0,0.0
17899200,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,-6.789556981870057e-29,-5.7026094066020345e-195,0.0,0.0
17902800,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,-7.569146461325533e-27,-4.828245440697077e-196,0.0,0.0
17906400,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,-4.426339505937816e-11,-1.4232608721894e-24,0.0,0.0
17910000,-0.5304377981922812,17908646.4,-0.8056374046016117,17907415.2,-0.5250220393609197,17908106.4,-0.4377580062432571,17907739.2,-0.439892408074968,17907962.4,7.137135419557032,7.845709607349452,0.0,0.0
17913600,-0.5462112339924943,17910000.0,-0.6789807551984381,17911756.8,-0.5566188779275194,17910000.0,-0.48953787645871216,17910000.0,-0.48130493496347526,17910000.0,8.327874773067608,8.951254706670754,0.0,0.0
17917200,-0.4292193063457148,17914845.599999998,0.1855660810811628,17915119.2,-0.3356528438380906,17914744.8,-0.37131839632303354,17914816.8,-0.4391583228739364,17914924.8,11.522379598712632,14.0048982052016,0.016322998040656365,0.11666666666666667
17920800,-0.9761112472997411,17917488.0,-0.4354506400408127,17917243.2,-0.9109952850992613,17920713.599999998,-0.8206604547186203,17920728.0,-0.9228201579580286,17920720.8,13.523560944739424,14.608142213598274,0.0,0.0
17924400,-0.9787666737356062,17924400.0,-0.6834869284447791,17920800.0,-0.903518573737017,17924400.0,-0.7652094419148625,17924400.0,-0.9118074873869659,17924400.0,15.065420580138845,15.560211541282701,0.0,0.0
17928000,-0.9194688822345256,17928000.0,-0.7479232565666507,17928000.0,-0.8004292614407404,17928000.0,-0.5869993495139738,17928000.0,-0.8086858654943399,17928000.0,15.434164573149182,16.343686732083626,0.0,0.0
17931600,0.7413578928397442,17931600.0,1.5531291073109514,17931600.0,1.0253594936173727,17931600.0,1.6156359032457317,17931600.0,1.0584648767112412,17931600.0,10.05260605992812,23.35213903932009,1.5244934532652217,2.15
17935200,0.8682312851568099,17935200.0,1.653595796143236,17935200.0,1.1809660990939506,17935200.0,1.850225239566214,17935200.0,1.403124415890204,17935200.0,15.595876825856918,38.69651552773403,2.1333424789347952,2.5833333333333335
17938800,1.0471722720523644,17937129.599999998,1.8109791714518906,17937108.0,1.3759682652397487,17937129.599999998,2.032800616163968,17937122.4,1.7770316981085443,17938800.0,16.997135343346002,39.12464431983244,2.945853948130943,3.0
17942400,1.037018914911755,17938807.2,1.7811878606658524,17938800.0,1.380616635690842,17938807.2,1.9828239120281523,17938800.0,1.7784967373169707,17938807.2,37.90840026261353,39.42070043320518,0.3857315131605635,0.5333333333333333
17946000,-0.31744579602855083,17943386.4,-0.6312840382959166,17946000.0,-0.6107529298969325,17946000.0,-0.5822846996141493,17942400.0,-0.6354156673307898,17942558.4,39.27956416166975,39.41801074587446,0.0,0.0
17949600,-0.4672992925366657,17946000.0,-0.24964890446312893,17949600.0,-0.3460703267049894,17949600.0,-0.40793443185765454,17949600.0,-0.6850143220750056,17949600.0,37.97204195253539,39.08484604998384,0.0,0.0
17953200,-0.26931609545061974,17950197.599999998,-0.027846609594007532,17950327.2,-0.10096938506603692,17950478.4,-0.07046212837292387,17951054.4,-0.1732675165566775,17952055.2,25.579828390000884,34.419684978009215,0.0,0.0
17956800,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.005650491204449368,4.76957797022846,0.0,0.0
17960400,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,-8.820770035976038e-11,-8.755953357402418e-11,0.0,0.0
17964000,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,-8.544971948224849e-11,-8.375971464335314e-11,0.0,0.0
17967600,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,-8.935665917250246e-11,-8.372259659100861e-11,0.0,0.0
17971200,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,-7.585911079667361e-11,-6.83835362145418e-11,0.0,0.0
